,acceleration,SPEED,Frequency
0,-10.1,1.0,2.8408283855572286e-06
1,-7.9,1.0,2.8408283855572286e-06
2,-7.7,7.0,2.8408283855572286e-06
3,-7.2,2.0,8.522485156671685e-06
4,-7.1,5.0,2.8408283855572286e-06
5,-7.0,1.0,2.8408283855572286e-06
6,-6.9,1.0,5.681656771114457e-06
7,-6.9,2.0,2.8408283855572286e-06
8,-6.8,2.0,2.8408283855572286e-06
9,-6.7,2.0,2.8408283855572286e-06
10,-6.6,4.0,2.8408283855572286e-06
11,-6.4,2.0,5.681656771114457e-06
12,-6.2,1.0,2.8408283855572286e-06
13,-6.2,2.0,2.8408283855572286e-06
14,-6.1,1.0,5.681656771114457e-06
15,-6.1,2.0,2.8408283855572286e-06
16,-6.0,2.0,5.681656771114457e-06
17,-6.0,3.0,2.8408283855572286e-06
18,-5.9,1.0,2.8408283855572286e-06
19,-5.9,6.0,2.8408283855572286e-06
20,-5.8,1.0,2.8408283855572286e-06
21,-5.7,1.0,2.8408283855572286e-06
22,-5.7,2.0,2.8408283855572286e-06
23,-5.7,3.0,2.8408283855572286e-06
24,-5.6,1.0,2.8408283855572286e-06
25,-5.6,2.0,2.8408283855572286e-06
26,-5.5,1.0,2.8408283855572286e-06
27,-5.5,2.0,2.8408283855572286e-06
28,-5.4,1.0,5.681656771114457e-06
29,-5.4,2.0,5.681656771114457e-06
30,-5.4,3.0,8.522485156671685e-06
31,-5.4,4.0,5.681656771114457e-06
32,-5.4,6.0,2.8408283855572286e-06
33,-5.3,1.0,5.681656771114457e-06
34,-5.3,2.0,2.8408283855572286e-06
35,-5.2,1.0,2.8408283855572286e-06
36,-5.2,2.0,5.681656771114457e-06
37,-5.2,3.0,2.8408283855572286e-06
38,-5.2,4.0,2.8408283855572286e-06
39,-5.1,1.0,1.704497031334337e-05
40,-5.1,2.0,1.704497031334337e-05
41,-5.0,1.0,5.681656771114457e-06
42,-5.0,2.0,2.8408283855572286e-06
43,-5.0,3.0,5.681656771114457e-06
44,-5.0,5.0,2.8408283855572286e-06
45,-5.0,6.0,2.8408283855572286e-06
46,-4.9,1.0,1.4204141927786142e-05
47,-4.9,2.0,8.522485156671685e-06
48,-4.9,3.0,2.8408283855572286e-06
49,-4.9,4.0,5.681656771114457e-06
50,-4.8,1.0,1.704497031334337e-05
51,-4.8,2.0,2.8408283855572286e-06
52,-4.8,6.0,5.681656771114457e-06
53,-4.7,1.0,8.522485156671685e-06
54,-4.7,2.0,5.681656771114457e-06
55,-4.7,10.0,2.8408283855572286e-06
56,-4.7,46.0,2.8408283855572286e-06
57,-4.6,1.0,1.98857986989006e-05
58,-4.6,2.0,1.4204141927786142e-05
59,-4.6,3.0,8.522485156671685e-06
60,-4.6,4.0,2.8408283855572286e-06
61,-4.5,1.0,2.8408283855572283e-05
62,-4.5,2.0,1.704497031334337e-05
63,-4.5,3.0,5.681656771114457e-06
64,-4.5,6.0,2.8408283855572286e-06
65,-4.5,7.0,2.8408283855572286e-06
66,-4.4,1.0,2.8408283855572283e-05
67,-4.4,2.0,3.97715973978012e-05
68,-4.4,4.0,2.8408283855572286e-06
69,-4.4,5.0,2.8408283855572286e-06
70,-4.4,6.0,2.8408283855572286e-06
71,-4.4,7.0,2.8408283855572286e-06
72,-4.3,1.0,1.704497031334337e-05
73,-4.3,2.0,3.1249112241129516e-05
74,-4.3,3.0,2.8408283855572286e-06
75,-4.3,4.0,5.681656771114457e-06
76,-4.3,12.0,2.8408283855572286e-06
77,-4.3,22.0,2.8408283855572286e-06
78,-4.2,1.0,1.1363313542228914e-05
79,-4.2,2.0,3.408994062668674e-05
80,-4.2,3.0,2.8408283855572286e-06
81,-4.2,4.0,2.8408283855572286e-06
82,-4.2,5.0,2.8408283855572286e-06
83,-4.2,6.0,2.8408283855572286e-06
84,-4.2,7.0,2.8408283855572286e-06
85,-4.1,1.0,2.5567455470015058e-05
86,-4.1,2.0,2.272662708445783e-05
87,-4.1,4.0,2.8408283855572286e-06
88,-4.1,5.0,2.8408283855572286e-06
89,-4.1,7.0,1.4204141927786142e-05
90,-4.1,46.0,2.8408283855572286e-06
91,-4.0,1.0,1.4204141927786142e-05
92,-4.0,2.0,2.5567455470015058e-05
93,-4.0,7.0,5.681656771114457e-06
94,-3.9,1.0,3.1249112241129516e-05
95,-3.9,2.0,2.272662708445783e-05
96,-3.9,3.0,5.681656771114457e-06
97,-3.9,4.0,8.522485156671685e-06
98,-3.9,6.0,5.681656771114457e-06
99,-3.9,13.0,2.8408283855572286e-06
100,-3.8,1.0,1.1363313542228914e-05
101,-3.8,2.0,5.1134910940030115e-05
102,-3.8,3.0,5.681656771114457e-06
103,-3.8,23.0,2.8408283855572286e-06
104,-3.7,2.0,2.272662708445783e-05
105,-3.7,3.0,8.522485156671685e-06
106,-3.7,5.0,2.8408283855572286e-06
107,-3.7,7.0,2.8408283855572286e-06
108,-3.6,1.0,3.1249112241129516e-05
109,-3.6,2.0,5.96573960967018e-05
110,-3.6,3.0,5.681656771114457e-06
111,-3.6,4.0,2.8408283855572286e-06
112,-3.6,5.0,5.681656771114457e-06
113,-3.6,17.0,2.8408283855572286e-06
114,-3.6,31.0,2.8408283855572286e-06
115,-3.6,32.0,2.8408283855572286e-06
116,-3.5,1.0,1.4204141927786142e-05
117,-3.5,2.0,2.8408283855572283e-05
118,-3.5,4.0,2.8408283855572286e-06
119,-3.5,7.0,5.681656771114457e-06
120,-3.5,14.0,2.8408283855572286e-06
121,-3.5,18.0,2.8408283855572286e-06
122,-3.5,22.0,2.8408283855572286e-06
123,-3.5,25.0,2.8408283855572286e-06
124,-3.5,26.0,2.8408283855572286e-06
125,-3.5,34.0,2.8408283855572286e-06
126,-3.5,50.0,2.8408283855572286e-06
127,-3.4,1.0,3.1249112241129516e-05
128,-3.4,2.0,5.96573960967018e-05
129,-3.4,3.0,1.704497031334337e-05
130,-3.4,4.0,8.522485156671685e-06
131,-3.4,6.0,2.8408283855572286e-06
132,-3.4,7.0,2.8408283855572286e-06
133,-3.4,25.0,2.8408283855572286e-06
134,-3.3,1.0,2.8408283855572283e-05
135,-3.3,2.0,5.1134910940030115e-05
136,-3.3,3.0,5.681656771114457e-06
137,-3.3,4.0,5.681656771114457e-06
138,-3.3,5.0,2.8408283855572286e-06
139,-3.3,6.0,8.522485156671685e-06
140,-3.3,7.0,2.8408283855572286e-06
141,-3.3,8.0,2.8408283855572286e-06
142,-3.3,12.0,2.8408283855572286e-06
143,-3.3,29.0,2.8408283855572286e-06
144,-3.2,1.0,4.545325416891566e-05
145,-3.2,2.0,4.545325416891566e-05
146,-3.2,3.0,8.522485156671685e-06
147,-3.2,4.0,5.681656771114457e-06
148,-3.2,5.0,1.1363313542228914e-05
149,-3.2,6.0,2.8408283855572286e-06
150,-3.2,7.0,1.1363313542228914e-05
151,-3.2,23.0,2.8408283855572286e-06
152,-3.2,27.0,2.8408283855572286e-06
153,-3.2,29.0,2.8408283855572286e-06
154,-3.2,45.0,2.8408283855572286e-06
155,-3.1,1.0,5.1134910940030115e-05
156,-3.1,2.0,5.96573960967018e-05
157,-3.1,3.0,3.1249112241129516e-05
158,-3.1,4.0,8.522485156671685e-06
159,-3.1,5.0,2.8408283855572286e-06
